Detailed Resource Usage
Module Name,Fabric 4LUT,Fabric DFF,Interface 4LUT,Interface DFF,Single-Ended I/O,Differential I/O Pairs,uSRAM 1K,LSRAM 18K,Math (18x18),PLLs and CCCs,Chip Globals,HPMS,HS USB,Multi-Mode UART,RCOSC_50MHZ
CORERISCV_AXI4_0/ChiselTop0/uncore/outmemsys/mmioManager/Primitives,28,11,0,0,0,0,0,0,0,0,0,0,0,0,0
CORERISCV_AXI4_0/debugBusReqFifo/Primitives,52,98,0,0,0,0,0,0,0,0,1,0,0,0,0
CORERISCV_AXI4_0/debugBusRespFifo/Primitives,14,84,0,0,0,0,0,0,0,0,0,0,0,0,0
CORERISCV_AXI4_0/debugTransportModuleJtag0/Primitives,204,96,0,0,0,0,0,0,0,0,0,0,0,0,0
CoreAHBLite_0/matrix4x16/masterstage_0/Primitives,78,55,0,0,0,0,0,0,0,0,0,0,0,0,0
CoreAHBLite_0/matrix4x16/masterstage_0/default_slave_sm/Primitives,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
CoreAHBLite_0/matrix4x16/slavestage_6/Primitives,48,1,0,0,0,0,0,0,0,0,0,0,0,0,0
CoreAHBLite_0/matrix4x16/slavestage_6/slave_arbiter/Primitives,16,3,0,0,0,0,0,0,0,0,0,0,0,0,0
CoreAHBLite_0/matrix4x16/slavestage_7/Primitives,33,1,0,0,0,0,0,0,0,0,0,0,0,0,0
CoreAHBLite_0/matrix4x16/slavestage_7/slave_arbiter/Primitives,21,5,0,0,0,0,0,0,0,0,0,0,0,0,0
CoreAHBLite_1/matrix4x16/masterstage_0/Primitives,95,55,0,0,0,0,0,0,0,0,0,0,0,0,0
CoreAHBLite_1/matrix4x16/masterstage_0/address_decode/Primitives,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CoreAHBLite_1/matrix4x16/masterstage_0/default_slave_sm/Primitives,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
CoreAHBLite_1/matrix4x16/slavestage_16/Primitives,35,1,0,0,0,0,0,0,0,0,0,0,0,0,0
CoreAHBLite_1/matrix4x16/slavestage_16/slave_arbiter/Primitives,40,3,0,0,0,0,0,0,0,0,0,0,0,0,0
CoreAPB3_0/u_mux_p_to_b3/Primitives,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CoreGPIO_IN/Primitives,2,8,0,0,0,0,0,0,0,0,0,0,0,0,0
CoreGPIO_OUT/Primitives,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0
CoreTimer_0/Primitives,134,118,0,0,0,0,0,0,0,0,0,0,0,0,0
CoreTimer_1/Primitives,134,118,0,0,0,0,0,0,0,0,0,0,0,0,0
CoreUARTapb_0/Primitives,29,24,0,0,0,0,0,0,0,0,0,0,0,0,0
CoreUARTapb_0/uUART/Primitives,4,9,0,0,0,0,0,0,0,0,0,0,0,0,0
CoreUARTapb_0/uUART/make_CLOCK_GEN/Primitives,24,19,0,0,0,0,0,0,0,0,0,0,0,0,0
CoreUARTapb_0/uUART/make_RX/Primitives,78,41,0,0,0,0,0,0,0,0,0,0,0,0,0
CoreUARTapb_0/uUART/make_TX/Primitives,29,21,0,0,0,0,0,0,0,0,0,0,0,0,0
HPMS_0_sb_0/CCC_0/Primitives,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0
HPMS_0_sb_0/CORECONFIGP_0/Primitives,45,75,0,0,0,0,0,0,0,0,0,0,0,0,0
HPMS_0_sb_0/CORERESETP_0/Primitives,35,59,0,0,0,0,0,0,0,0,4,0,0,0,0
HPMS_0_sb_0/ConfigMaster_0/Primitives,679,380,0,0,0,0,0,0,0,0,0,0,0,0,0
HPMS_0_sb_0/CoreAHBLite_0/matrix4x16/masterstage_0/Primitives,34,50,0,0,0,0,0,0,0,0,0,0,0,0,0
HPMS_0_sb_0/CoreAHBLite_0/matrix4x16/masterstage_0/default_slave_sm/Primitives,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0
HPMS_0_sb_0/CoreAHBLite_0/matrix4x16/masterstage_1/Primitives,88,50,0,0,0,0,0,0,0,0,0,0,0,0,0
HPMS_0_sb_0/CoreAHBLite_0/matrix4x16/masterstage_1/default_slave_sm/Primitives,38,1,0,0,0,0,0,0,0,0,0,0,0,0,0
HPMS_0_sb_0/CoreAHBLite_0/matrix4x16/slavestage_16/Primitives,104,2,0,0,0,0,0,0,0,0,0,0,0,0,0
HPMS_0_sb_0/CoreAHBLite_0/matrix4x16/slavestage_16/slave_arbiter/Primitives,83,7,0,0,0,0,0,0,0,0,0,0,0,0,0
HPMS_0_sb_0/FABOSC_0/Primitives,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
HPMS_0_sb_0/HPMS_0_sb_HPMS_0/Primitives,0,0,0,0,46,3,0,0,0,0,2,1,0,0,0
MIRSLV2MIRMSTRBRIDGE_AHB_0/Primitives,33,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Primitives/Primitives,1,0,0,0,8,0,0,0,0,0,0,0,0,0,0
